"","filename","rng_seed","species_initiation_rate_good_species","species_initiation_rate_incipient_species","speciation_completion_rate","extinction_rate_good_species","extinction_rate_incipient_species","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","version"
"1","article_0_0_0_0_0.RDa","1","0.1","0.1","0","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"2","article_0_0_0_0_1.RDa","1","0.1","0.1","0","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"3","article_0_0_0_0_2.RDa","1","0.1","0.1","0","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"4","article_0_0_0_1_0.RDa","1","0.1","0.1","0","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"5","article_0_0_0_1_1.RDa","1","0.1","0.1","0","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"6","article_0_0_0_1_2.RDa","1","0.1","0.1","0","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"7","article_0_0_0_2_0.RDa","1","0.1","0.1","0","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"8","article_0_0_0_2_1.RDa","1","0.1","0.1","0","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"9","article_0_0_0_2_2.RDa","1","0.1","0.1","0","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"10","article_0_0_1_0_0.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"11","article_0_0_1_0_1.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"12","article_0_0_1_0_2.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"13","article_0_0_1_1_0.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"14","article_0_0_1_1_1.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"15","article_0_0_1_1_2.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"16","article_0_0_1_2_0.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"17","article_0_0_1_2_1.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"18","article_0_0_1_2_2.RDa","1","0.1","0.1","0","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"19","article_0_0_2_0_0.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"20","article_0_0_2_0_1.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"21","article_0_0_2_0_2.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"22","article_0_0_2_1_0.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"23","article_0_0_2_1_1.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"24","article_0_0_2_1_2.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"25","article_0_0_2_2_0.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"26","article_0_0_2_2_1.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"27","article_0_0_2_2_2.RDa","1","0.1","0.1","0","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"28","article_0_0_3_0_0.RDa","1","0.1","0.1","0","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"29","article_0_0_3_0_1.RDa","1","0.1","0.1","0","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"30","article_0_0_3_0_2.RDa","1","0.1","0.1","0","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
